word,emotion,score
concussion,anger,0.377
claimant,anger,0.182
bombard,anger,0.641
harmful,anger,0.672
disgraced,anger,0.608
egregious,anger,0.672
plunder,anger,0.469
abolish,anger,0.485
convict,anger,0.621
derogatory,anger,0.562
offensive,anger,0.549
howl,anger,0.394
concealment,anger,0.424
thoughtless,anger,0.307
opium,anger,0.18
shitday,anger,0.727
disagreement,anger,0.348
opposed,anger,0.484
capslock,anger,0.242
prison,anger,0.529
loathsome,anger,0.857
actionable,anger,0.394
devastating,anger,0.561
encumbrance,anger,0.333
catastrophe,anger,0.735
forsaken,anger,0.406
eschew,anger,0.324
cursed,anger,0.574
compulsion,anger,0.409
versus,anger,0.227
belligerent,anger,0.841
trumpet,anger,0.059
epidemic,anger,0.406
foe,anger,0.441
antithesis,anger,0.5
mosquito,anger,0.219
mournful,anger,0.188
insists,anger,0.175
nothappy,anger,0.412
aggravated,anger,0.703
roar,anger,0.515
animosity,anger,0.652
menace,anger,0.545
hatred,anger,0.953
infuriated,anger,0.938
poisonous,anger,0.672
standstill,anger,0.125
discontent,anger,0.424
musical,anger,0.011
warfare,anger,0.734
recidivism,anger,0.469
furor,anger,0.9
faulty,anger,0.375
incite,anger,0.469
whip,anger,0.531
irreconcilable,anger,0.543
fallacious,anger,0.424
remand,anger,0.375
antagonist,anger,0.545
disobey,anger,0.469
battled,anger,0.712
fucktard,anger,0.906
odious,anger,0.667
betrayal,anger,0.561
massacre,anger,0.882
angry,anger,0.824
destruction,anger,0.656
angriest,anger,0.864
ultimatum,anger,0.439
riotous,anger,0.734
savage,anger,0.814
selfish,anger,0.469
hunting,anger,0.411
beating,anger,0.849
sinful,anger,0.491
pretending,anger,0.152
wrath,anger,0.885
buffering,anger,0.279
disturbance,anger,0.576
angermanagement,anger,0.469
nurture,anger,0.059
dislike,anger,0.469
losing,anger,0.349
friggen,anger,0.575
ire,anger,0.547
intrusive,anger,0.598
oust,anger,0.484
defendant,anger,0.266
toughness,anger,0.492
incredulous,anger,0.426
assassination,anger,0.859
sectarian,anger,0.359
horrid,anger,0.833
bigoted,anger,0.53
anathema,anger,0.485
vulgarity,anger,0.75
snarling,anger,0.697
denounce,anger,0.652
chaotic,anger,0.576
broken,anger,0.359
somethingigetalot,anger,0.219
soangry,anger,0.758
rail,anger,0.406
madman,anger,0.82
vengeance,anger,0.886
wrongful,anger,0.441
threat,anger,0.742
obnoxious,anger,0.484
fighting,anger,0.868
unfair,anger,0.571
perverse,anger,0.415
busted,anger,0.455
smell,anger,0.061
rascal,anger,0.234
cruel,anger,0.758
fights,anger,0.803
gonorrhea,anger,0.424
violent,anger,0.844
chaff,anger,0.312
demolish,anger,0.824
death,anger,0.574
dominate,anger,0.5
guilty,anger,0.591
hateeee,anger,0.779
bastarding,anger,0.719
aggressively,anger,0.68
irritating,anger,0.606
derogation,anger,0.5
shout,anger,0.667
demonic,anger,0.828
buffet,anger,0.029
accuser,anger,0.47
