word,emotion,score
swine,disgust,0.664
undesirable,disgust,0.43
obi,disgust,0.352
deformed,disgust,0.68
grievance,disgust,0.328
pestilence,disgust,0.781
muck,disgust,0.719
sickly,disgust,0.617
lying,disgust,0.531
condemnation,disgust,0.547
mockery,disgust,0.477
condescension,disgust,0.531
manure,disgust,0.82
abject,disgust,0.438
adultery,disgust,0.727
impolite,disgust,0.266
woe,disgust,0.398
unbearable,disgust,0.484
dying,disgust,0.617
insanity,disgust,0.562
recession,disgust,0.492
impure,disgust,0.422
fool,disgust,0.461
disincline,disgust,0.312
elf,disgust,0.141
desert,disgust,0.203
cannibalism,disgust,0.953
atrophy,disgust,0.555
incubus,disgust,0.586
serpent,disgust,0.57
hostile,disgust,0.609
unequal,disgust,0.32
wimp,disgust,0.367
stingy,disgust,0.398
smuggler,disgust,0.531
perdition,disgust,0.461
thrift,disgust,0.164
bowels,disgust,0.719
depraved,disgust,0.703
pig,disgust,0.539
atrocity,disgust,0.734
crude,disgust,0.508
screaming,disgust,0.5
aphid,disgust,0.453
airs,disgust,0.195
regurgitation,disgust,0.766
parrot,disgust,0.156
scum,disgust,0.695
lavatory,disgust,0.586
tearful,disgust,0.344
prostitution,disgust,0.633
irritating,disgust,0.375
bitch,disgust,0.648
puke,disgust,0.789
ghastly,disgust,0.625
diabolical,disgust,0.727
strangle,disgust,0.617
banish,disgust,0.5
poaching,disgust,0.602
contagion,disgust,0.719
derision,disgust,0.5
cursing,disgust,0.43
disappointment,disgust,0.297
deplorable,disgust,0.516
bacterium,disgust,0.727
butcher,disgust,0.594
scorpion,disgust,0.391
hateful,disgust,0.703
asshole,disgust,0.836
egotistical,disgust,0.445
rabid,disgust,0.688
kite,disgust,0.055
displeasure,disgust,0.406
miserable,disgust,0.547
alienation,disgust,0.375
grime,disgust,0.703
disrelish,disgust,0.391
porn,disgust,0.703
shoplifting,disgust,0.406
averse,disgust,0.398
mistress,disgust,0.523
mutilated,disgust,0.789
soil,disgust,0.312
goo,disgust,0.656
dilapidated,disgust,0.672
unnatural,disgust,0.398
grisly,disgust,0.727
dismal,disgust,0.477
frustrate,disgust,0.352
suicidal,disgust,0.695
diarrhoea,disgust,0.82
corrupting,disgust,0.75
wince,disgust,0.281
duress,disgust,0.5
unworthy,disgust,0.375
burnt,disgust,0.531
hanging,disgust,0.531
rotting,disgust,0.844
gorge,disgust,0.492
finally,disgust,0.125
recalcitrant,disgust,0.445
misconduct,disgust,0.375
mangle,disgust,0.578
falsity,disgust,0.43
devastating,disgust,0.57
sloth,disgust,0.539
malfeasance,disgust,0.641
tarnish,disgust,0.422
discord,disgust,0.383
pillage,disgust,0.547
scoundrel,disgust,0.562
slut,disgust,0.703
sewerage,disgust,0.859
affliction,disgust,0.484
mosquito,disgust,0.445
diseased,disgust,0.797
rat,disgust,0.633
awkwardness,disgust,0.203
queasy,disgust,0.633
lesser,disgust,0.188
conspirator,disgust,0.578
collapse,disgust,0.422
alien,disgust,0.438
elimination,disgust,0.453
jealousy,disgust,0.5
socialist,disgust,0.422
illegitimate,disgust,0.414
liar,disgust,0.539
egregious,disgust,0.57
desist,disgust,0.281
critter,disgust,0.391
larceny,disgust,0.578
tyrannical,disgust,0.562
gruesome,disgust,0.789
inconvenient,disgust,0.203
degrade,disgust,0.516
scold,disgust,0.297
soiled,disgust,0.742
distaste,disgust,0.555
cruel,disgust,0.766
lush,disgust,0.188
fussy,disgust,0.227
badness,disgust,0.422
hairy,disgust,0.422
barf,disgust,0.875
ruthless,disgust,0.562
recklessness,disgust,0.461
latent,disgust,0.305
pervert,disgust,0.82
secretion,disgust,0.703
coward,disgust,0.555
inexcusable,disgust,0.484
annoy,disgust,0.336
unattractive,disgust,0.555
impeach,disgust,0.5
gnome,disgust,0.203
stall,disgust,0.133
shabby,disgust,0.383
nameless,disgust,0.148
spew,disgust,0.641
unwashed,disgust,0.602
rancid,disgust,0.859
vegetative,disgust,0.414
brothel,disgust,0.609
unsettled,disgust,0.336
cess,disgust,0.67
nauseate,disgust,0.703
cruelty,disgust,0.758
distress,disgust,0.508
bloodthirsty,disgust,0.852
appalling,disgust,0.586
muff,disgust,0.391
misstatement,disgust,0.234
pitfall,disgust,0.367
deceitful,disgust,0.594
discriminating,disgust,0.555
alienate,disgust,0.453
crawl,disgust,0.266
grimy,disgust,0.68
sarcasm,disgust,0.258
repugnance,disgust,0.766
garish,disgust,0.445
vermin,disgust,0.789
ridiculous,disgust,0.352
gluttony,disgust,0.625
coop,disgust,0.304
vesicular,disgust,0.547
autopsy,disgust,0.719
carnage,disgust,0.781
disapprove,disgust,0.344
animosity,disgust,0.484
malevolent,disgust,0.547
contagious,disgust,0.695
perpetrator,disgust,0.633
poison,disgust,0.656
accusation,disgust,0.523
hoot,disgust,0.164
ill,disgust,0.492
demonic,disgust,0.742
nettle,disgust,0.289
cringe,disgust,0.516
quack,disgust,0.461
disparity,disgust,0.305
creature,disgust,0.43
despicable,disgust,0.734
deranged,disgust,0.742
destructive,disgust,0.531
surly,disgust,0.383
repulsive,disgust,0.805
illegality,disgust,0.477
presumptuous,disgust,0.383
slum,disgust,0.758
deceive,disgust,0.461
quagmire,disgust,0.578
laxative,disgust,0.641
shit,disgust,0.82
lunatic,disgust,0.594
smut,disgust,0.688
infectious,disgust,0.758
unsatisfied,disgust,0.266
grumpy,disgust,0.305
powerful,disgust,0.102
tree,disgust,0.039
horrifying,disgust,0.641
blunder,disgust,0.336
thief,disgust,0.547
hypocritical,disgust,0.383
spoil,disgust,0.617
sinner,disgust,0.594
bovine,disgust,0.422
malicious,disgust,0.617
