word,emotion,score
disembodied,fear,0.531
rule,fear,0.188
robber,fear,0.516
coward,fear,0.578
torment,fear,0.806
fanaticism,fear,0.344
pare,fear,0.367
constrain,fear,0.358
dispossessed,fear,0.578
whirlpool,fear,0.375
downfall,fear,0.5
ominous,fear,0.594
infestation,fear,0.716
honest,fear,0.047
audition,fear,0.156
frightened,fear,0.844
doomed,fear,0.888
marry,fear,0.125
aggressor,fear,0.812
confessional,fear,0.225
buried,fear,0.531
tryouts,fear,0.21
watch,fear,0.188
palpitations,fear,0.484
incurable,fear,0.797
masks,fear,0.562
injured,fear,0.719
medication,fear,0.156
shaking,fear,0.531
disease,fear,0.688
oblivion,fear,0.609
needles,fear,0.547
unsure,fear,0.172
dismay,fear,0.484
clinical,fear,0.312
dominant,fear,0.406
plight,fear,0.516
projectile,fear,0.654
militia,fear,0.672
schizophrenia,fear,0.703
rifle,fear,0.453
rekindle,fear,0.234
cautionary,fear,0.359
defendant,fear,0.328
heft,fear,0.219
advance,fear,0.188
distressed,fear,0.406
harrowing,fear,0.703
delusional,fear,0.25
witchcraft,fear,0.703
flurries,fear,0.266
submission,fear,0.391
swim,fear,0.125
dreadfully,fear,0.796
dying,fear,0.948
warcrimes,fear,0.785
surgery,fear,0.578
misery,fear,0.734
mace,fear,0.438
chimera,fear,0.375
pillage,fear,0.574
crash,fear,0.734
cane,fear,0.219
imprisoned,fear,0.811
darkened,fear,0.61
sag,fear,0.123
enigmatic,fear,0.329
praying,fear,0.047
sweating,fear,0.298
scourge,fear,0.609
exterminate,fear,0.81
breakingnews,fear,0.25
repression,fear,0.625
dreadful,fear,0.75
travesty,fear,0.562
illegality,fear,0.469
outbreak,fear,0.672
burial,fear,0.703
indefensible,fear,0.484
horrid,fear,0.705
phalanx,fear,0.342
disturbance,fear,0.459
coerce,fear,0.484
attorney,fear,0.188
degrading,fear,0.562
ohshit,fear,0.766
dictator,fear,0.656
merciless,fear,0.609
exclusion,fear,0.636
restrained,fear,0.594
stillwaiting,fear,0.184
lastminute,fear,0.219
horrific,fear,0.969
cur,fear,0.359
insulting,fear,0.435
duress,fear,0.641
sabotage,fear,0.703
suicidebombing,fear,0.967
dangerous,fear,0.75
plummet,fear,0.613
ahhhhhhhh,fear,0.312
slaughter,fear,0.891
thundering,fear,0.625
hostage,fear,0.734
aaaaaaah,fear,0.344
shooting,fear,0.812
intercede,fear,0.234
ordnance,fear,0.312
incursion,fear,0.531
alarming,fear,0.656
remains,fear,0.281
expose,fear,0.375
subordinate,fear,0.328
overcome,fear,0.203
threat,fear,0.604
overdrive,fear,0.234
loyal,fear,0.094
desecration,fear,0.578
radioactive,fear,0.656
bug,fear,0.188
injury,fear,0.672
gameday,fear,0.125
cripple,fear,0.703
xenophobia,fear,0.656
restrain,fear,0.453
deranged,fear,0.703
emergency,fear,0.719
cliff,fear,0.5
gasping,fear,0.438
knell,fear,0.344
endangered,fear,0.656
beating,fear,0.609
deceit,fear,0.594
sympathetic,fear,0.097
shrapnel,fear,0.688
dissolution,fear,0.375
behemoth,fear,0.439
fluctuation,fear,0.204
timidity,fear,0.297
quiver,fear,0.469
wrenching,fear,0.75
foreclose,fear,0.469
accuser,fear,0.438
moan,fear,0.394
lash,fear,0.484
anthrax,fear,0.859
carcass,fear,0.672
