word,emotion,score
ultimate,sadness,0.109
embarrassment,sadness,0.531
downfall,sadness,0.594
elimination,sadness,0.516
gray,sadness,0.269
sullen,sadness,0.531
bloodshed,sadness,0.836
distraught,sadness,0.812
infliction,sadness,0.562
unfortunately,sadness,0.727
regretting,sadness,0.688
stricken,sadness,0.641
comatose,sadness,0.562
bothering,sadness,0.435
sick,sadness,0.531
horrid,sadness,0.734
kill,sadness,0.797
pensive,sadness,0.438
sanctify,sadness,0.108
violently,sadness,0.719
accident,sadness,0.516
exhaustion,sadness,0.375
rainy,sadness,0.227
descent,sadness,0.377
obesity,sadness,0.359
concussion,sadness,0.545
disgraced,sadness,0.734
fearful,sadness,0.766
expulsion,sadness,0.469
slavery,sadness,0.828
oust,sadness,0.375
smite,sadness,0.555
stripped,sadness,0.516
discrimination,sadness,0.578
cry,sadness,0.75
ruinous,sadness,0.698
gory,sadness,0.672
embarrass,sadness,0.394
conceal,sadness,0.311
hate,sadness,0.656
mournful,sadness,0.812
discontent,sadness,0.543
decay,sadness,0.482
dispel,sadness,0.375
inappropriate,sadness,0.297
inhibit,sadness,0.312
paucity,sadness,0.438
pious,sadness,0.219
missingyou,sadness,0.672
setback,sadness,0.297
lost,sadness,0.625
tearful,sadness,0.703
unattractive,sadness,0.373
boo,sadness,0.094
despairing,sadness,0.672
ifonly,sadness,0.391
mistake,sadness,0.312
ruined,sadness,0.697
spinster,sadness,0.4
fatigued,sadness,0.406
annihilated,sadness,0.828
famine,sadness,0.812
dictatorship,sadness,0.509
morbidity,sadness,0.864
discolored,sadness,0.219
deprived,sadness,0.594
martyrdom,sadness,0.594
dull,sadness,0.297
stretcher,sadness,0.391
bum,sadness,0.438
helplessness,sadness,0.828
childloss,sadness,0.812
unimportant,sadness,0.288
starvation,sadness,0.819
violation,sadness,0.594
blunder,sadness,0.219
wet,sadness,0.078
robbery,sadness,0.6
dolor,sadness,0.5
sue,sadness,0.318
irreparable,sadness,0.609
error,sadness,0.25
reprisal,sadness,0.484
ovation,sadness,0.078
mortuary,sadness,0.797
yucky,sadness,0.203
gone,sadness,0.453
manslaughter,sadness,0.833
hopeless,sadness,0.688
remiss,sadness,0.266
extinct,sadness,0.703
humiliate,sadness,0.703
disaster,sadness,0.758
memories,sadness,0.172
bitterly,sadness,0.625
banishment,sadness,0.79
prostitution,sadness,0.375
accursed,sadness,0.697
unpaid,sadness,0.125
fatal,sadness,0.922
distress,sadness,0.594
clouded,sadness,0.312
ache,sadness,0.531
dishonor,sadness,0.625
leftout,sadness,0.469
indifference,sadness,0.219
reject,sadness,0.547
helpless,sadness,0.594
cold,sadness,0.188
painfully,sadness,0.758
pessimism,sadness,0.576
splitting,sadness,0.188
departed,sadness,0.558
betrayal,sadness,0.734
lace,sadness,0.118
emotional,sadness,0.438
cringe,sadness,0.5
nutritious,sadness,0.015
euthanasia,sadness,0.927
strip,sadness,0.179
bondage,sadness,0.328
inequality,sadness,0.641
polio,sadness,0.656
appendicitis,sadness,0.438
unpopular,sadness,0.359
imprisoned,sadness,0.688
pale,sadness,0.234
impotence,sadness,0.625
inefficient,sadness,0.391
insult,sadness,0.484
lockup,sadness,0.359
resentment,sadness,0.562
deteriorated,sadness,0.365
inability,sadness,0.453
unaccountable,sadness,0.339
mug,sadness,0.141
eviction,sadness,0.594
urn,sadness,0.562
buried,sadness,0.703
inhuman,sadness,0.703
napkin,sadness,0.031
woe,sadness,0.719
annihilation,sadness,0.828
doomsday,sadness,0.75
flounder,sadness,0.359
murky,sadness,0.375
derogation,sadness,0.491
