word,emotion,score
joker,surprise,0.367
urgency,surprise,0.625
bewilderment,surprise,0.828
carnage,surprise,0.688
dazzle,surprise,0.836
tempest,surprise,0.625
slayer,surprise,0.5
lunge,surprise,0.539
stupefy,surprise,0.758
nab,surprise,0.492
stagger,surprise,0.578
inspired,surprise,0.406
bang,surprise,0.836
astonishingly,surprise,0.852
visor,surprise,0.156
flinch,surprise,0.742
enchant,surprise,0.422
sisterhood,surprise,0.109
zeal,surprise,0.484
mysterious,surprise,0.586
overdue,surprise,0.156
splash,surprise,0.609
chant,surprise,0.234
marry,surprise,0.242
overestimate,surprise,0.453
uncontrollable,surprise,0.711
inimaginable,surprise,0.617
inexpressible,surprise,0.484
quote,surprise,0.141
laugh,surprise,0.258
eruption,surprise,0.883
exclaim,surprise,0.789
succeed,surprise,0.375
trip,surprise,0.281
changeable,surprise,0.438
miracle,surprise,0.859
alarming,surprise,0.773
slush,surprise,0.141
embrace,surprise,0.312
explosion,surprise,0.898
obliging,surprise,0.188
hoax,surprise,0.453
magnificent,surprise,0.508
revenge,surprise,0.57
fright,surprise,0.836
banger,surprise,0.531
raid,surprise,0.773
fascinate,surprise,0.562
astonishment,surprise,0.805
anomaly,surprise,0.633
whim,surprise,0.555
practiced,surprise,0.156
murder,surprise,0.617
differently,surprise,0.297
rapid,surprise,0.469
tackle,surprise,0.602
graduation,surprise,0.18
destination,surprise,0.148
accolade,surprise,0.281
petrify,surprise,0.742
vote,surprise,0.125
trick,surprise,0.625
loyal,surprise,0.148
goodness,surprise,0.164
assail,surprise,0.602
improvisation,surprise,0.641
horde,surprise,0.484
obit,surprise,0.352
kiss,surprise,0.312
variable,surprise,0.484
surge,surprise,0.703
supremacy,surprise,0.391
crash,surprise,0.734
peri,surprise,0.391
wireless,surprise,0.148
monstrous,surprise,0.68
dolphin,surprise,0.117
gambler,surprise,0.406
inaffable,surprise,0.312
uncanny,surprise,0.586
splendid,surprise,0.445
break,surprise,0.461
praiseworthy,surprise,0.383
liberation,surprise,0.414
somatic,surprise,0.266
brighten,surprise,0.438
jackpot,surprise,0.812
attacking,surprise,0.648
