valence,arousal,dominance,text,norm_Valence_M,norm_Arousal_M,norm_Dominance_M
0.49923138320446014,0.3915104866027832,0.609683483839035,If I wasn't working here.,0.4499999999999999,0.525,0.4499999999999999
0.6109717587629954,0.29866265257199603,0.6219808608293533,"I've got more than a job; I've got a career.""",0.5675,0.59,0.59
0.47072403132915497,0.354553759098053,0.5588718354701996,He has no time to waste.,0.4649999999999999,0.5725,0.5725
0.6779596010843912,0.378874734044075,0.7042417973279953,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",0.6,0.525,0.6
0.7362857758998871,0.41324086487293243,0.7306948602199554,Real results.,0.5,0.4,0.525
0.757204270362854,0.3585862100124359,0.7331049323081971,Your support helps provide real solutions.,0.6,0.475,0.5
0.6763618936141332,0.38454265892505646,0.6793783803780874,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",0.55,0.5,0.475
0.5631125047802925,0.30791163817048073,0.5000563636422157,James M. McClelland President,0.5,0.4375,0.53
0.7097578048706055,0.44513813853263856,0.6165027379989624,"At last, he has found success in a job that he loves.",0.695,0.5825,0.5825
0.6362698782574047,0.3773598535494371,0.6341865848411213,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,0.675,0.475,0.575
0.6271255811055502,0.2971491813659668,0.6367775698502859,"The savings are counted in more ways than dollars and cents, however.",0.5,0.345,0.595
0.7072463557124138,0.4293317422270775,0.6957422296206156,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,0.65,0.55,0.525
0.6213872954249382,0.30934709310531616,0.5506684258580208,Michael was born with cerebral palsy.,0.285,0.535,0.4649999999999999
0.5454673133790493,0.3374074175953865,0.5657012648880482,His most recent job lasted only a year before cut-backs eliminated his position.,0.345,0.5,0.47
0.622077739238739,0.36102215051651,0.6575334906578064,He resorted to public assistance dollars to survive.,0.425,0.525,0.525
0.7178524136543274,0.4059523269534111,0.6468171179294586,"Finally, Michael called Goodwill.",0.525,0.525,0.5
0.39031774178147316,0.4122329503297806,0.47794099152088165,"Some are blind, deaf or have other physical disabilities.",0.3924999999999999,0.5,0.5
0.7181972861289978,0.3024332821369171,0.800784170627594,"Sincerely,",0.555,0.5275,0.5275
0.6701592261140997,0.3320473703471097,0.6484290307218378,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,0.5,0.5,0.5
0.6569844583670298,0.37448594098289806,0.6829765240351359,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,0.53,0.47,0.4375
0.6409490638309054,0.3818766002853711,0.6486920068661371,"To help them establish themselves in the community, the Pleasant Run Emancipation fund was begun in 1993 by private donors who wanted to provide a measure of financial support for those leaving our programs.",0.55,0.5,0.575
0.5152322846380147,0.5357532447034662,0.6168466183272275,"Today, we serve children and families with a multitude of problems: emotional, physical, psychological and sexual abuse.",0.4,0.525,0.475
0.6374926880002022,0.4773169383406639,0.5670773178339005,"Little ones, like Baby Jessica, caught in the struggle between adoptive and birth parents.",0.4499999999999999,0.5,0.5
0.6306336099902788,0.3412845029185216,0.6346012105544409,Pleasant Run Children's Homes began serving children nearly 130 years ago.,0.525,0.55,0.6
0.6443231031298637,0.3619519416242838,0.7238244265317917,"They leave Pleasant Run, generally, ready and able to contribute to society.",0.6,0.5,0.575
0.5567386547724406,0.29422903060913086,0.6045854687690735,"June 26, 1995",0.5,0.35,0.4499999999999999
0.5666543451639322,0.35445357056764454,0.5882282600953028,"Federal, state and local governments are freezing or withdrawing much-needed funding sources for people who are truly in need.",0.5275,0.4725,0.5
0.6986385107040405,0.3336872816085815,0.7332961916923523,It may help a family stay together.,0.575,0.525,0.5
0.720567375421524,0.41987258195877075,0.6656884551048279,Let our families and children know that you want them to have the same kinds of memories of the holidays you will have.,0.6,0.475,0.5
0.7907025814056396,0.3667041026055813,0.7252931594848633,Dear Friends of Pleasant Run:,0.5,0.535,0.5
0.7181972861289978,0.3024332821369171,0.800784170627594,"Sincerely,",0.55,0.4499999999999999,0.525
0.7593350580760411,0.46064408336366924,0.7527842436517987,They do not have the resources necessary to purchase gifts or food for a holiday meal.,0.36,0.4449999999999999,0.4449999999999999
0.6254562079906464,0.3395681992173195,0.5925521135330201,You can make a difference in a child's life.,0.6075,0.5725,0.535
0.6569218635559082,0.3642319164105824,0.6180250304085868,"June 1, 1998 BOYS & Girls Club OF INDIANAPOLIS",0.5,0.5,0.5425
0.6944374024868012,0.41333664357662203,0.690721619129181,Please read the enclosed brochure for more information on the wonderful Super Summer Safari Camp!,0.55,0.55,0.55
0.5728110671043396,0.36409029364585876,0.7695387005805969,Questions?,0.5,0.55,0.525
0.63184813190909,0.3665618984138264,0.6161186905468211,"Saturday, September 20,1997, from 2:00 p.m. until 7:00 p.m., marks a special day, as Jameson Camp will hold its first ever Jameson Grill.",0.55,0.55,0.525
0.7005451159043745,0.39193261617963965,0.655557469888167,"The only fund raising event in the world where you can bring your entire family, other employees, or maybe even your neighbors.",0.575,0.4,0.475
0.5215052366256714,0.32041582465171814,0.6220053434371948,P.S.,0.5,0.375,0.5
0.6681573589642843,0.3683043271303177,0.6784239610036215,"And not just during the summer, but throughout the year.",0.5,0.4549999999999999,0.5
0.6976112624009451,0.42726754645506543,0.6928411722183228,"The end result will be kids who have a better understanding of and vision for their own future, be it college or a career.",0.6,0.575,0.6
0.6843484818935395,0.36447100043296815,0.6818923115730285,I know that our staff and committee members will be happy to go with you to talk to these group if you need their help.,0.5,0.5,0.535
0.6332959830760956,0.3727629056031054,0.6470083187926899,We're at an exciting juncture and it won't be long until we start seeing solid results from our efforts.,0.7,0.675,0.7
0.579233189423879,0.3349624474843343,0.6024524569511414,"July 30, 1999",0.5,0.5,0.5
0.6190275089307264,0.35326115719296713,0.6584536108103666,"Your gift will enable CCI to provide these and other necessary services at a neighborhood level, face-to-face, where it counts.",0.625,0.525,0.575
0.7266334593296051,0.28716927766799927,0.658744603395462,Dear Name:,0.5,0.3924999999999999,0.5
0.6668038765589396,0.41998910407225293,0.7138523757457733,"Social Development and Recreation for children, youth and adults.",0.64,0.5825,0.61
0.6703365309671923,0.3317647562785582,0.6662483323704113,"As a provider of youth services, MCCOY, Inc. is here to support your valuable efforts to develop young people.",0.5625,0.5,0.53
0.6362922244212207,0.3885420034913456,0.6818344277494094,"Recently, through a lot of hard work and alliances with organizations like yours, some steps have been taken in our community that will help young people continue to be involved in positive activities.",0.61,0.5275,0.5275
0.6060537241007152,0.30087397874970184,0.6200833540213736,"One, IndyGo in April adopted a much-needed policy that all young people under the age of 19 may ride on their buses at half the normal fare all year long.",0.55,0.4499999999999999,0.475
0.6046475494901339,0.3490183080236117,0.6552166963617007,I have enclosed a packet of information about MCCOY and its work as well as an application with various options for supporting the youth of our community.,0.5275,0.5,0.5
0.6357175350189209,0.25934944301843643,0.6705148816108704,I will call you in a few weeks to discuss your level of interest.,0.55,0.575,0.625
0.6602859419325123,0.3358844959217569,0.6721333731775698,"As you begin that process this year, I would like to ask you to consider helping young people in Marion County toward more positive youth development by becoming a supporter of the Marion County Commission on Youth, Inc.",0.5,0.4575,0.5425
0.6322215464380052,0.2789442332254516,0.6038749482896593,McCoy has only one interest: the well being of Marion County's young people.,0.5,0.4449999999999999,0.5
0.6354666245835168,0.3966135723250253,0.6640762303556714,"It retained, however, the same mission with which it had been charged from its inception: to serve as a catalyst for effective, coordinated, and collaborative service delivery to youth in our community.",0.53,0.47,0.5
0.573244258761406,0.3585951291024685,0.555667120963335,John T. Neighbours Philip B. Roby President Treasurer,0.5,0.5,0.5
0.7266334593296051,0.28716927766799927,0.658744603395462,Dear Name:,0.5,0.405,0.4375
0.6441077962517738,0.3704652637243271,0.6383743137121201,A Providers Council and a Youth Coalition are building relationships that will hopefully bear great fruit in the years to come.,0.655,0.53,0.53
0.6595782467297145,0.3389416230576379,0.6620518735476902,One of us will call you to discuss how your company can become an important highly visible partner with the JCC in support of our scholarship programs.,0.5275,0.5275,0.5275
0.712665875752767,0.31408941745758057,0.8311569492022196,Thank you in advance for your consideration.,0.65,0.525,0.55
0.5971058266503471,0.3379447375025068,0.6530842440468925,"Judy Laikin, Chair Auction '99 Sponsor Committee",0.525,0.475,0.525
0.7490228176116943,0.3725391447544098,0.7465790152549744,But caring adults like you can reach out and help.,0.6,0.575,0.575
0.6684675067663193,0.3767721801996231,0.6397481511036555,Big Sisters helps bridge that gap by providing children with the resources they need -- Big Sisters volunteers.,0.5825,0.5,0.5825
0.6818038721879324,0.4536501367886861,0.7423623402913412,"Today, we are offering you the opportunity to help change a life.",0.6425,0.6425,0.6775
0.5735677310398647,0.3445218354463577,0.6155655256339482,"As a Matchmaker you will receive a description of ""your match"" and be identified as a Matchmaker on a plaque in the Big Sisters office, in the agency newsletter and annual report.",0.5925,0.4375,0.625
0.6291289826234182,0.3925196975469589,0.6327256063620249,Over 235 girls are currently waiting for a Big Sister.,0.4499999999999999,0.5,0.4499999999999999
0.5858398919755762,0.3649267012422735,0.5914482122117822,"Former Little Sister Amy, now 18-years old, is a testament to the Big Sisters program.",0.5725,0.535,0.5
0.6404672145843506,0.338345468044281,0.616105830669403,"""I was matched with my Big Sister in June of 1992.",0.575,0.5,0.55
0.6939329504966736,0.33866053633391857,0.6855862811207771,"Since then, she and I have grown very close and I have been able to experience lots of new things.",0.65,0.5,0.55
0.703701206615993,0.3991126854504858,0.637980865580695,"We go to movies, dinner, concerts, and other stuff like that, but I have also been able to participate in charity events and fundraiser type things.",0.55,0.425,0.55
0.643277391007072,0.35742496424599696,0.6774840135323373,"It will also be used to help maintain the infrastructure that fosters and supports the development of effective relationships, including volunteer orientation and training and ongoing supervision and support by a professional staff.",0.535,0.4649999999999999,0.535
0.6171359658241272,0.31936668157577514,0.6160504698753357,"Name Address City, ST Zip",0.5,0.4499999999999999,0.5
0.6323460234063012,0.3697556895869119,0.6656167336872646,"The Urban Mission Branch is reaching out to middle school youth with programs based on caring, honesty, respect and responsibility for themselves and others.",0.595,0.53,0.5625
0.5373322296142579,0.3230108788609505,0.5587483525276185,"The Iraqi government has agreed to let U.S. Rep. Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990, Hall's office said Monday.",0.475,0.475,0.5
0.60143548479447,0.34837217972828793,0.6141179089362805,"Iraq says the United States and Britain hold up delivery of needed supplies, using their clout in the United Nations.",0.3924999999999999,0.5725,0.6425
0.5121956646442414,0.43745234310626985,0.558661021788915,"""It was very, very important"" to compel Iraq to rid itself of weapons of mass destruction so that ""it cannot use or export them to other countries,"" he told Associated Press Television News.",0.4675,0.4375,0.5325
0.5646371990442276,0.4257257853945096,0.6124452625711759,But he insisted the international community can do a much better job in helping Iraq deal with its economic and health problems.,0.5,0.5,0.53
0.6003055284763205,0.36610954075024044,0.6138892944516807,"Indonesia is already receiving $400,000 in the current fiscal year for civilian training programs and is to receive a like amount next year; and the United States expects to provide an additional $16 million this year to train police officers in counterterrorism.",0.4649999999999999,0.5725,0.535
0.5462979650497437,0.3882413738965988,0.5986512458324432,"The Malaysian foreign minister, Syed Hamid Albar, later told local reporters that Powell had proposed that American and Malaysian officials review the idea of forming a regional training center in Malaysia to coordinate antiterrorism activities.",0.55,0.55,0.5
0.5317489696809878,0.3989230692386627,0.6069157261114854,"Powell said his discussions with Mahathir ""touched on the case"" of his former deputy, Anwar Ibrahim, who is serving a 15-year sentence on charges of sodomy and abuse of power after trials that Powell said the United States had ""always felt"" were flawed.",0.4499999999999999,0.55,0.4499999999999999
0.6245545799081976,0.3828879540616816,0.6285634582692926,"In recent months, Microsoft has announced partnerships with wireless carriers like Verizon and Sprint PCS.",0.5,0.425,0.5
0.5714860504323785,0.4106911515647715,0.5812049643559889,"With the Marlins Floyd bated .287, hit 18 home runs and drove in 57 runs.",0.5,0.5,0.5
0.5041971057653427,0.43638732731342317,0.5404046754042308,"""There was death in D.C. throughout the '80s and into the '90s, and there was death everywhere,"" said Starke, who was reared in New Rochelle, N.Y., and played at Columbia.",0.3249999999999999,0.625,0.4499999999999999
0.5499003604054451,0.3887984294976507,0.5964963131007694,"""It wasn't like New York's or Boston's organized crime. It was kids shooting kids. It was a 14-year-old from R Street who got his crew of six together and ran their drug block killing another 14-year-old and his crew from a block away. And from the beginning I could see that it was all about jobs. I could see that you needed the private sector involved.""",0.285,0.6425,0.535
0.6240121586756273,0.34733489426699554,0.62877295775847,"The school, now in its third year, has been so successful that it recently received a $2 million grant from Congress.",0.625,0.5625,0.5625
0.6313969492912292,0.3327359020709991,0.7153763771057129,The program is coordinated with the University of the District of Columbia.,0.545,0.4325,0.5225
0.5144124428431193,0.41037313640117645,0.5837521702051163,"So, Starke matched a problem with a problem and found a solution.",0.575,0.6,0.55
0.59389328956604,0.3417641321818034,0.6182512044906616,"Angela Nafis, 47, of Ecuador, has been in the school for a year.",0.5,0.475,0.525
0.6544435888528823,0.4144807934761047,0.6659330278635025,"""I did a lot of walking, got an interview and got a job and an opportunity of a lifetime,"" Orellana said.",0.5825,0.5,0.555
0.6157566394124713,0.36551816548619953,0.6625642010143825,The city has talked with Starke about using his students for some vehicle repairs.,0.5,0.475,0.5
0.5887174506982168,0.37876994609832765,0.5592503974835078,"The 1933 double eagle, a $20 gold piece with a mysterious history that involves a president, a king and a Secret Service sting operation, was auctioned Tuesday last night for a record price for a coin, $7.59 million, nearly double the previous record.",0.575,0.6,0.55
0.591392066081365,0.3061597257852554,0.6023599783579509,"Sotheby's partner in the one-lot auction was Stack's Rare Coins, with which it shared the customary 15 percent commission.",0.55,0.475,0.55
0.6411993205547333,0.39162478276661467,0.5932712171758924,"""So the auction was almost like the ribbon-cutting ceremony for the convention,""",0.5,0.5,0.5
