text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,is_single_sentence
"użytkownicy Słyszałem, że Baranowicze piękne",twitter,0,1.8,1.2,1.0,1.0,1.0,1.6,3.4,1.8,0.0,0.2,0.0499999999999999,0.0,0.0,0.0,0.15,0.6,0.2,True
Wielkość przewozów kolejowych w Chinach osiągnęła rekordowy poziom,twitter,0,2.2,1.0,1.0,1.0,1.0,2.4,3.4,1.2,0.0,0.3,0.0,0.0,0.0,0.0,0.35,0.6,0.0499999999999999,True
"Na skutek pandemii ""wielka piątka"" lig europejskich (Bundesliga, La Liga, Ligue 1, Premier League i Serie A) pozyskała 15,1 mld euro przychodów w sezonie 2019/2020, co stanowi 11-procentowy spadek w zestawieniu z poprzednim rokiem.",twitter,0,1.0,1.4,1.4,1.0,1.2,1.0,2.4,1.4,0.0,0.0,0.0999999999999999,0.0999999999999999,0.0,0.0499999999999999,0.0,0.35,0.0999999999999999,True
"użytkownicy Mało ich już jest, ale proszę wpaść do redakcji na Prostą 30 a jakiś piatek 12-14, to może jeszcze będzie;)",twitter,0,2.6,1.0,1.0,1.0,1.0,1.6,4.2,2.4,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.8,0.35,True
użytkownicy Najgłupszy komantarz użytkownicy od początku miesiąca ,twitter,0,1.2,1.2,1.8,2.6,1.0,1.0,2.0,2.2,3.0,0.0499999999999999,0.0499999999999999,0.2,0.4,0.0,0.0,0.25,0.3,True
"użytkownicy Samorządy mają udział taki sam w grantach jak i pożyczkach - po 5,5 mld €.",twitter,0,1.4,1.6,1.6,1.8,1.6,1.0,2.6,1.6,0.0,0.0999999999999999,0.15,0.15,0.2,0.15,0.0,0.4,0.15,True
użytkownicy Świat odwróconych pojęć,twitter,0,1.0,2.8,1.8,1.6,1.8,1.0,2.4,1.8,0.0,0.0,0.4499999999999999,0.2,0.15,0.2,0.0,0.35,0.2,True
"""Nagle okazało się – przynajmniej w ich opinii – że nie wolno pokazywać światu, co mówi i robi młodzież na chińskiej apce, zaprojektowanej, by prać zachodnie mózgi i szpiegować swoich użytkowników..."" odnośnik ",twitter,0,1.0,1.6,3.4,2.8,1.6,1.0,2.0,2.8,3.0,0.0,0.15,0.6,0.4499999999999999,0.15,0.0,0.25,0.4499999999999999,True
"Po raz pierwszy Serek Wiejski pojawił się w Polsce w 1992 roku dzięki OSM Piątnica, która wprowadziła go nasz rynek i nadal pozostaje jego największym producentem.",twitter,0,2.2,1.0,1.0,1.0,1.0,3.4,3.8,2.2,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.7,0.3,True
Tygodnik WPROST opublikował listę 50 najbardziej wpływowych Polek i Polaków.,,0,2.2,1.0,1.0,1.0,1.0,2.2,3.6,1.6,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.65,0.15,True
