text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,is_single_sentence
"Trzymaj się Siergiej, dziękujemy za gorące słowa, ten szczur putin musi zdechnąć, za te wszystkie krzywdy.",youtube,18,1.0,2.4,4.4,3.2,2.0,1.4,1.6,4.0,0.0,0.0,0.35,0.8500000000000001,0.55,0.25,0.0999999999999999,0.15,0.75,True
"I choć nie istnieje jeden przepis na matkę idealną, to są miliony różnych dróg, by być tą najlepszą dla swoich dzieci.",,25,3.6,1.2,1.0,1.0,1.0,3.2,4.4,2.8,0.0,0.65,0.0499999999999999,0.0,0.0,0.0,0.55,0.8500000000000001,0.4499999999999999,True
"""Najbliższe miesiące zapewne zadecydują, czy armia rzeczywiście utrzyma inicjatywę - na przykład wspierając strajki generalne czy wystawiając własnego kandydata na stanowisko prezydenta, choćby generała Antoine'a Martineza"" odnośnik ",twitter,73,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0999999999999999,True
"Zanim w niedzielę zagłosujecie na Partię Wysokich Cen, to polecam ten filmik.",,56,1.0,1.4,2.2,3.2,2.0,1.6,1.8,2.8,4.0,0.0,0.0999999999999999,0.3,0.55,0.25,0.15,0.2,0.4499999999999999,True
"Ci eksperci, to albo radni Prawa i Sprawiedliwości, albo osoby powiązane, np. rodzinnie z tą partią.",,35,1.0,1.2,3.8,3.4,1.2,1.2,1.8,2.6,0.0,0.0,0.0499999999999999,0.7,0.6,0.0499999999999999,0.0499999999999999,0.2,0.4,True
"Oznacza to, że wszystkie zainteresowane osoby mogą nieodpłatnie z niego korzystać, jednak z wyłączeniem celów komercyjnych.",,81,1.4,1.4,1.2,1.2,1.0,1.6,3.0,2.0,0.0,0.0999999999999999,0.0999999999999999,0.0499999999999999,0.0499999999999999,0.0,0.15,0.5,0.25,True
"""Czy jestem w stanie się poświęcić i nie wystartować w dwóch kolejnych turniejach wielkoszlemowych Wimbledonie i Roland Garrosie, jeśli tam wymagane będzie szczepienia na Covid?",,62,1.0,1.2,2.6,2.2,1.8,1.4,2.2,2.2,1.0,0.0,0.0499999999999999,0.4,0.3,0.2,0.0999999999999999,0.3,0.3,True
Ale... życie to nie bajka.,,19,1.0,3.8,1.4,1.4,1.8,1.0,1.8,1.8,1.0,0.0,0.7,0.0999999999999999,0.0999999999999999,0.2,0.0,0.2,0.2,True
Ruszają także szczepienia dzieci w wieku 5-11 lat.,,34,2.4,1.0,1.0,1.0,1.0,2.0,3.6,1.6,0.0,0.35,0.0,0.0,0.0,0.0,0.25,0.65,0.15,True
użytkownicy To wielki sukces demokracji,twitter,40,4.0,1.0,1.0,1.0,1.2,3.0,4.0,1.8,0.0,0.75,0.0,0.0,0.0,0.0499999999999999,0.5,0.75,0.2,True
użytkownicy Też Panią pozdrawiam i proszę już nie psocić.,twitter,6,3.4,1.0,2.4,1.6,1.2,1.6,3.0,2.2,3.0,0.6,0.0,0.35,0.15,0.0499999999999999,0.15,0.5,0.3,True
